age group,year,gender,deaths,population,suicideratetotal
15-19 Years,1973,Female,314,10193000,3.1
15-19 Years,1973,Male,1113,10453000,10.6
15-19 Years,1973,Total,1427,20646000,6.9
15-19 Years,1974,Female,329,10349000,3.2
15-19 Years,1974,Male,1160,10629000,10.9
15-19 Years,1974,Total,1489,20978000,7.1
15-19 Years,1975,Female,305,10465000,2.9
15-19 Years,1975,Male,1289,10757000,12
15-19 Years,1975,Total,1594,21222000,7.5
15-19 Years,1976,Female,335,10582000,3.2
15-19 Years,1976,Male,1221,10896000,11.2
15-19 Years,1976,Total,1556,21478000,7.2
15-19 Years,1977,Female,350,10581000,3.3
15-19 Years,1977,Male,1521,10895000,14
15-19 Years,1977,Total,1871,21476000,8.7
15-19 Years,1978,Female,319,10555000,3
15-19 Years,1978,Male,1367,10881000,12.6
15-19 Years,1978,Total,1686,21436000,7.9
15-19 Years,1979,Female,336,10498000,3.2
15-19 Years,1979,Male,1452,10850000,13.4
15-19 Years,1979,Total,1788,21348000,8.4
15-19 Years,1980,Female,314,10412715,3
15-19 Years,1980,Male,1483,10755409,13.8
15-19 Years,1980,Total,1797,21168124,8.5
15-19 Years,1981,Female,357,10095868,3.5
15-19 Years,1981,Male,1413,10444689,13.5
15-19 Years,1981,Total,1770,20540557,8.6
15-19 Years,1982,Female,308,9808532,3.1
15-19 Years,1982,Male,1422,10153152,14
15-19 Years,1982,Total,1730,19961684,8.7
15-19 Years,1983,Female,307,9514903,3.2
15-19 Years,1983,Male,1370,9873058,13.9
15-19 Years,1983,Total,1677,19387961,8.6
15-19 Years,1984,Female,327,9287144,3.5
15-19 Years,1984,Male,1365,9643487,14.2
15-19 Years,1984,Total,1692,18930631,8.9
15-19 Years,1985,Female,340,9174206,3.7
15-19 Years,1985,Male,1509,9553032,15.8
15-19 Years,1985,Total,1849,18727238,9.9
15-19 Years,1986,Female,344,9205787,3.7
15-19 Years,1986,Male,1552,9606788,16.2
15-19 Years,1986,Total,1896,18812575,10.1
15-19 Years,1987,Female,377,9138902,4.1
15-19 Years,1987,Male,1525,9559404,16
15-19 Years,1987,Total,1902,18698306,10.2
15-19 Years,1988,Female,391,9029012,4.3
15-19 Years,1988,Male,1668,9467329,17.6
15-19 Years,1988,Total,2059,18496341,11.1
15-19 Years,1989,Female,372,8840332,4.2
15-19 Years,1989,Male,1637,9292771,17.6
15-19 Years,1989,Total,2009,18133103,11.1
15-19 Years,1990,Female,323,8708877,3.7
15-19 Years,1990,Male,1656,9172834,18.1
15-19 Years,1990,Total,1979,17811711,11.1
15-19 Years,1991,Female,311,8407309,3.7
15-19 Years,1991,Male,1588,8862971,17.9
15-19 Years,1991,Total,1899,17270280,11
15-19 Years,1992,Female,287,8388570,3.4
15-19 Years,1992,Male,1560,8857670,17.6
15-19 Years,1992,Total,1847,17246240,10.7
15-19 Years,1993,Female,323,8496137,3.8
15-19 Years,1993,Male,1561,8977716,17.4
15-19 Years,1993,Total,1884,17473853,10.8
15-19 Years,1994,Female,299,8689030,3.4
15-19 Years,1994,Male,1649,9186779,17.9
15-19 Years,1994,Total,1948,17875809,10.9
15-19 Years,1995,Female,274,8929131,3.1
15-19 Years,1995,Male,1616,9444867,17.1
15-19 Years,1995,Total,1890,18373998,10.3
15-19 Years,1996,Female,321,9193223,3.5
15-19 Years,1996,Male,1496,9726937,15.4
15-19 Years,1996,Total,1817,18920160,9.6
15-19 Years,1997,Female,312,9425166,3.3
15-19 Years,1997,Male,1490,9972525,14.9
15-19 Years,1997,Total,1802,19397691,9.3
15-19 Years,1998,Female,274,9640995,2.8
15-19 Years,1998,Male,1463,10198737,14.3
15-19 Years,1998,Total,1737,19839732,8.8
15-19 Years,1999,Female,268,9761569,2.7
15-19 Years,1999,Male,1346,10323033,13
15-19 Years,1999,Total,1614,20084602,8
15-19 Years,2000,Female,269,9828886,2.7
15-19 Years,2000,Male,1347,10391004,13
15-19 Years,2000,Total,1616,20219890,8
15-19 Years,2001,Female,266,9843981,2.7
15-19 Years,2001,Male,1339,10423173,12.8
15-19 Years,2001,Total,1605,20267154,7.9
15-19 Years,2002,Female,233,9905023,2.4
15-19 Years,2002,Male,1278,10471128,12.2
15-19 Years,2002,Total,1511,20376151,7.4
15-19 Years,2003,Female,265,9959789,2.7
15-19 Years,2003,Male,1221,10518680,11.6
15-19 Years,2003,Total,1486,20478469,7.3
15-19 Years,2004,Female,355,10094408,3.5
15-19 Years,2004,Male,1341,10635394,12.6
15-19 Years,2004,Total,1696,20729802,8.2
15-19 Years,2005,Female,309,10248766,3
15-19 Years,2005,Male,1301,10790223,12.1
15-19 Years,2005,Total,1610,21038989,7.7
15-19 Years,2006,Female,292,10389322,2.8
15-19 Years,2006,Male,1258,10934864,11.5
15-19 Years,2006,Total,1550,21324186,7.3
15-19 years,2007,Female,260,10731326,2.4
15-19 years,2007,Male,1220,11336490,10.8
15-19 years,2007,Total,1480,22067816,6.7
15-19 years,2008,Female,320,10805148,3
15-19 years,2008,Male,1283,11405732,11.2
15-19 years,2008,Total,1603,22210880,7.2
15-19 years,2009,Female,343,10804571,3.2
15-19 years,2009,Male,1322,11388239,11.6
15-19 years,2009,Total,1665,22192810,7.5
15-19 years,2010,Female,336,10736677,3.1
15-19 years,2010,Male,1322,11303666,11.7
15-19 years,2010,Total,1658,22040343,7.5
15-19 years,2011,Female,370,10525097,3.5
15-19 years,2011,Male,1431,11118946,12.9
15-19 years,2011,Total,1801,21644043,8.3
15-19 years,2012,Female,409,10397841,3.9
15-19 years,2012,Male,1369,10962861,12.5
15-19 years,2012,Total,1778,21360702,8.3
15-19 years,2013,Female,398,10312774,3.9
15-19 years,2013,Male,1347,10846190,12.4
15-19 years,2013,Total,1745,21158964,8.2
15-19 years,2014,Female,430,10283624,4.2
15-19 years,2014,Male,1407,10784023,13
15-19 years,2014,Total,1837,21067647,8.7
15-19 years,2015,Female,522,10311036,5.1
15-19 years,2015,Male,1537,10797867,14.2
15-19 years,2015,Total,2059,21108903,9.8
15-19 years,2016,Female,516,10328153,5
15-19 years,2016,Male,1598,10801846,14.8
15-19 years,2016,Total,2114,21129999,10
